"교육청명","교육지원청명","유치원코드","유치원명","설립유형","독립편성학급수","오후재편성학급수","운영시간","독립편성참여원아수","오후재편성참여원아수","정규교사수","기간제교사수","강사수","공시차수","주소"
"서울특별시교육청","동부교육지원청","b0005379-c35f-4cdf-8d60-e1c2bd49b158","서울봉화초등학교병설유치원","공립(병설)","0","2","07시30분~19시30분","0","25","0","0","2","20241","서울특별시 중랑구 신내로15길 110"
"서울특별시교육청","강남서초교육지원청","b2d7325d-5742-4adf-ad7a-4fcc9ea8f9dc","서울청담초등학교병설유치원","공립(병설)","0","2","07시30분~19시30분","0","21","0","0","2","20241","서울특별시 강남구 압구정로71길 9"
"서울특별시교육청","동부교육지원청","b6a058d4-d077-4426-a262-864967ac2010","서울중흥초등학교병설유치원","공립(병설)","0","4","07시30분~19시30분","0","71","0","0","5","20241","서울특별시 중랑구 봉화산로 82"
"서울특별시교육청","북부교육지원청","b773220d-b371-4bc5-85f6-2bb2c8d0fee0","서울월계초등학교병설유치원","공립(병설)","2","0","07시30분~19시30분","25","","0","0","2","20241","서울특별시 노원구 월계로45가길 10"
"서울특별시교육청","북부교육지원청","bbc01edd-3428-41d0-9a8c-8369c54e1fd5","서울마들유치원","공립(단설)","0","6","07시30분~19시30분","0","82","0","0","6","20241","서울특별시 도봉구 마들로 567"
"서울특별시교육청","남부교육지원청","bee9e663-cc40-4da3-a26e-2b77a1a3e3f9","서울우신초등학교병설유치원","공립(병설)","0","3","07시20분~19시20분","","42","0","2","1","20241","서울특별시 영등포구 신길로 190"
"서울특별시교육청","북부교육지원청","c17caf35-438d-4c89-b23f-458335cc0ac0","서울숭미초등학교병설유치원","공립(병설)","0","2","07시00분~20시00분","","31","0","0","3","20241","서울특별시 도봉구 노해로 179"
"서울특별시교육청","남부교육지원청","c295b114-3f1c-40a9-85ec-0999d036c98c","서울선유초등학교병설유치원","공립(병설)","0","3","07시20분~19시20분","0","54","0","0","3","20241","서울특별시 영등포구 선유로43가길 14"
"서울특별시교육청","동부교육지원청","c2e09cc2-cdd2-4105-ba11-7fe02b7e47f8","서울양원숲초등학교병설유치원","공립(병설)","0","5","07시00분~20시00분","0","90","0","1","4","20241","서울특별시 중랑구 양원역로 95"
"서울특별시교육청","강동송파교육지원청","c331985b-b881-4725-9fc3-6e80741044d9","서울강빛초등학교병설유치원","공립(병설)","0","4","07시00분~20시00분","","72","0","0","4","20241","서울특별시 강동구 아리수로93다길 1"
"서울특별시교육청","강남서초교육지원청","c62c929e-a5b4-4cad-89f6-a490272463d9","서울어진유치원","공립(단설)","0","3","07시30분~19시30분","0","53","0","0","3","20241","서울특별시 서초구 태봉로2길 21"
"서울특별시교육청","중부교육지원청","c851dea0-e64a-451d-9007-da39e7ab705b","린덴바움유치원","사립(사인)","0","9","08시00분~17시00분","","182","9","0","0","20241","서울특별시 종로구 통일로12길 51"
"서울특별시교육청","성동광진교육지원청","c86bfe33-312b-465b-ae84-67bdc4e80ab3","서울경일초등학교병설유치원","공립(병설)","1","1","07시30분~19시30분","9","14","0","0","2","20241","서울특별시 성동구 뚝섬로 332"
"서울특별시교육청","서부교육지원청","ccb06417-04c0-411a-b29e-6ff1a22fabab","서울북한산유치원","공립(단설)","0","7","07시30분~19시30분","0","82","0","0","7","20241","서울특별시 은평구 진관1로 77-15"
"서울특별시교육청","성동광진교육지원청","ccb6c0b0-a68a-4b86-8fe2-58f35a3c1952","서울용곡초등학교병설유치원","공립(병설)","0","2","07시30분~19시30분","0","31","0","0","2","20241","서울특별시 광진구 용마산로22길 82"
"서울특별시교육청","강서양천교육지원청","cd859395-2ba1-4f95-a3db-7c7a75b2d320","서울송정초등학교병설유치원","공립(병설)","0","3","07시30분~19시30분","0","46","0","0","3","20241","서울특별시 강서구 공항대로3길 18"
"서울특별시교육청","동부교육지원청","cec68159-711c-4efe-97bd-5d43416a051b","서울중목초등학교병설유치원","공립(병설)","0","2","07시00분~20시00분","0","27","0","0","2","20241","서울특별시 중랑구 동일로 665"
"서울특별시교육청","강서양천교육지원청","d0fe68a4-a1df-44ce-9072-87f9da3c301a","서울개화초등학교병설유치원","공립(병설)","0","1","07시00분~20시00분","0","10","0","0","1","20241","서울특별시 강서구 양천로 11"
"서울특별시교육청","동작관악교육지원청","d203618d-94ef-4a46-bf53-6a7b4946017d","서울당곡초등학교병설유치원","공립(병설)","0","2","07시00분~20시00분","0","35","0","0","2","20241","서울특별시 관악구 보라매로2길 23"
"서울특별시교육청","북부교육지원청","d2ef6fed-c1e4-417d-8794-73f74106491f","서울계상초등학교병설유치원","공립(병설)","0","2","07시00분~19시00분","0","11","0","0","2","20241","서울특별시 노원구 한글비석로41가길 24"
"서울특별시교육청","중부교육지원청","d2f53d6b-5999-4534-beb8-087e81f19824","서울광희초등학교병설유치원","공립(병설)","0","2","07시30분~19시40분","0","30","0","0","2","20241","서울특별시 중구 다산로 269"
"서울특별시교육청","강동송파교육지원청","d3a54882-16bb-4eae-9dc2-7a63f3a43215","홍익가족유치원","사립(사인)","0","5","09시30분~17시30분","","130","5","0","0","20241","서울특별시 송파구 삼학사로19길 20"
"서울특별시교육청","강남서초교육지원청","d66d57de-9a60-4eab-8ca9-38b9d53c57e0","서울포이초등학교병설유치원","공립(병설)","0","2","07시30분~19시30분","0","25","0","0","2","20241","서울특별시 강남구 개포로22길 87"
"서울특별시교육청","성북강북교육지원청","d6df2050-e2a0-4e60-bffa-db3ae9220338","서울우이유치원","공립(단설)","0","4","07시30분~19시30분","0","54","0","1","3","20241","서울특별시 강북구 삼양로99길 36"
"서울특별시교육청","강서양천교육지원청","d72d2e90-cf0d-4a9b-8697-a47e692aa3ea","서울신정유치원","공립(단설)","0","8","07시30분~19시30분","0","137","0","0","9","20241","서울특별시 양천구 신정로7길 81-4"
"서울특별시교육청","강서양천교육지원청","da318554-85fa-494c-9ab9-60fd25bb0ce2","이솔유치원","사립(사인)","3","0","07시00분~19시00분","60","0","3","0","0","20241","서울특별시 강서구 곰달래로33가길 6"
"서울특별시교육청","동작관악교육지원청","dadf4a8d-771c-43e0-8f65-87c28eb31f4a","서울남부초등학교병설유치원","공립(병설)","0","2","07시30분~19시30분","0","32","0","1","1","20241","서울특별시 관악구 남부순환로163길 14"
"서울특별시교육청","성동광진교육지원청","db6bc219-29b5-48d3-af79-797756d3a7a6","서울신양초등학교병설유치원","공립(병설)","0","2","07시00분~20시00분","0","31","0","0","2","20241","서울특별시 광진구 능동로 42"
"서울특별시교육청","강동송파교육지원청","dc3c0174-def5-4b61-a69d-19ff119cdf2e","서울고일초등학교병설유치원","공립(병설)","0","2","07시30분~19시30분","0","36","0","0","2","20241","서울특별시 강동구 구천면로93길 20"
"서울특별시교육청","강남서초교육지원청","dca143e8-4d0e-4744-bde9-ee5b9638066d","서울일원초등학교병설유치원","공립(병설)","3","0","07시00분~20시00분","47","","0","0","3","20241","서울특별시 강남구 영동대로4길 20"
"서울특별시교육청","남부교육지원청","dd159f28-f7cc-4827-93ca-472ef12db5c4","서울문교초등학교병설유치원","공립(병설)","0","2","07시00분~19시00분","0","22","0","0","3","20241","서울특별시 금천구 독산로54길 102"
"서울특별시교육청","남부교육지원청","dd6206b2-a72a-4bdd-992a-3922a54bdb4b","서울오류남초등학교병설유치원","공립(병설)","0","2","07시00분~19시00분","","21","0","0","2","20241","서울특별시 구로구 서해안로24길 22"
"서울특별시교육청","서부교육지원청","e120b286-7861-486d-9b3f-f3c7b49f3c1c","서울어울초등학교병설유치원","공립(병설)","0","2","07시00분~19시00분","0","36","0","0","2","20241","서울특별시 은평구 통일로 650"
"서울특별시교육청","강동송파교육지원청","e1def744-a9f2-4422-8301-d3548bd6074c","서울위례별유치원","공립(단설)","0","4","07시30분~19시30분","0","72","0","0","4","20241","서울특별시 송파구 위례순환로 371"
"서울특별시교육청","서부교육지원청","e7796971-1ca3-445b-a672-a03730995574","서울역촌유치원","공립(단설)","0","2","07시00분~19시00분","0","20","0","0","2","20231","서울특별시 은평구 진흥로7길 25"
"서울특별시교육청","동작관악교육지원청","ea0748a1-62aa-47ee-abcf-784398d6646d","서울신림초등학교병설유치원","공립(병설)","0","2","07시00분~19시00분","0","27","0","0","2","20241","서울특별시 관악구 문성로28길 31"
"서울특별시교육청","서부교육지원청","eb8cde61-5718-4f14-ab59-7df432e254ee","서울한서초등학교병설유치원","공립(병설)","0","2","07시00분~19시00분","","37","0","0","2","20241","서울특별시 마포구 대흥로24바길 27"
"서울특별시교육청","동부교육지원청","f10d3393-f828-460a-a5ed-0a134f8ddd34","라온유치원","사립(사인)","0","2","08시00분~17시00분","0","49","1","1","0","20241","서울특별시 동대문구 답십리로48길 56"
"서울특별시교육청","북부교육지원청","f989a1f7-1610-4bc9-8ead-ddb5fdfdfe1e","서울태릉초등학교병설유치원","공립(병설)","0","1","07시30분~19시30분","0","12","0","0","2","20241","서울특별시 노원구 노원로1길 36"
"서울특별시교육청","성동광진교육지원청","f9b5d3fc-3b2c-4803-b37a-481ad5a11f4b","서울무학초등학교병설유치원","공립(병설)","0","2","07시30분~19시30분","","25","0","0","2","20241","서울특별시 성동구 무학봉15길 21"
"서울특별시교육청","강남서초교육지원청","fccf9482-0b1c-4f4b-a7e7-cffe7f40b07b","서울학동초등학교병설유치원","공립(병설)","0","2","07시00분~19시00분","0","27","0","0","2","20241","서울특별시 강남구 선릉로115길 42"
