교육청명,교육지원청명,유치원코드,유치원명,설립유형,실내공기질 점검일자,실내공기질 점검결과,정기소독 의무대상시설여부,정기소독 점검일자,정기소독 점검결과,음용수종류(먹는샘물(생수)),음용수종류(정수기),음용수종류(상수도),음용수종류(지하수),지하수사용시 수질 검사여부,지하수사용시 검사일자,지하수사용시 검사결과,미세먼지 검사일자,미세먼지 검사결과,조도관리 검사일자,조도관리 검사결과,공시차수,주소
서울특별시교육청,북부교육지원청,1ecec08d-0578-b044-e053-0a32095ab044,서울상곡초등학교병설유치원,공립(병설),20240628,적합,Y,20240907,실시,-,-,O,-,N,-,-,20240628,-,20240628,-,20242,서울특별시 노원구 노원로38길 34
서울특별시교육청,북부교육지원청,1ecec08d-0741-b044-e053-0a32095ab044,꿈모리유치원,사립(사인),20181022,적합,N,20190724,실시,-,O,-,-,N,-,-,20181022,-,20181022,-,20192,서울특별시 노원구 공릉로58길 23
서울특별시교육청,북부교육지원청,1ecec08d-0742-b044-e053-0a32095ab044,꿈동산유치원,사립(사인),20180907,적합,Y,20180824,실시,-,O,O,-,N,-,-,20180907,-,20180907,-,20182,서울특별시 노원구 동일로227길 26
서울특별시교육청,북부교육지원청,1ecec08d-08f6-b044-e053-0a32095ab044,삼육대학교부속유치원,사립(법인),20240911,적합,Y,20240920,실시,-,O,O,-,N,-,-,20240911,-,20240911,-,20242,서울특별시 노원구 화랑로 815
서울특별시교육청,북부교육지원청,1ecec08d-08f7-b044-e053-0a32095ab044,서울여자대학교부속유치원,사립(법인),20240530,적합,Y,20240624,실시,O,O,-,-,N,-,-,20240530,-,20240530,-,20242,서울특별시 노원구 화랑로 621
서울특별시교육청,북부교육지원청,1ecec08d-09c2-b044-e053-0a32095ab044,서울노일유치원,공립(단설),20240405,적합,Y,20240825,실시,-,O,-,-,N,-,-,20240405,-,20240405,-,20242,서울특별시 노원구 동일로231길 26
서울특별시교육청,북부교육지원청,1ecec08d-09c3-b044-e053-0a32095ab044,아랑유치원,사립(사인),20240507,적합,Y,20240913,실시,-,O,-,-,N,-,-,20240507,-,20240507,-,20242,서울특별시 노원구 동일로 1127
서울특별시교육청,북부교육지원청,1ecec08d-09c4-b044-e053-0a32095ab044,사랑샘유치원,사립(사인),20201019,적합,Y,20200910,실시,-,O,-,-,N,-,-,-,-,-,-,20202,서울특별시 노원구 한글비석로 325
서울특별시교육청,북부교육지원청,1ecec08d-09d0-b044-e053-0a32095ab044,원암유치원,사립(사인),20240904,적합,Y,20240907,실시,-,O,-,-,N,-,-,20240904,-,20240904,-,20242,서울특별시 노원구 중계로14라길 48
서울특별시교육청,북부교육지원청,1ecec08d-0b2c-b044-e053-0a32095ab044,토마토유치원,사립(사인),20190715,적합,Y,20190723,실시,-,O,-,-,N,-,-,20190715,-,20190715,-,20192,서울특별시 노원구 공릉로 181
